,title,isbn,booktype,author,rating,ratingCount,reviewCount,year,genres
54,The Odyssey,9780143039952,books.book,https://www.goodreads.com/author/show/903.Homer,3.75,791030,10477,-725,classics|fiction|poetry|fantasy|mythology|fantasy
55,Water for Elephants,9781565125605,books.book,https://www.goodreads.com/author/show/24556.Sara_Gruen,4.08,1255683,57759,2006,fiction|historical|historical-fiction|romance|historical
56,Lolita,null,books.book,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,3.89,595061,21758,1955,classics|fiction|literature
57,Slaughterhouse-Five,9780385333849,books.book,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut,4.07,1024802,24043,1969,classics|fiction|science-fiction|war
58,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",9780345418913,books.book,https://www.goodreads.com/author/show/4.Douglas_Adams,4.22,1243513,26088,1979,science-fiction|fiction|humor|fantasy|classics
59,Frankenstein,9780141439471,books.book,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,3.78,1030814,27106,1818,classics|fiction|horror|science-fiction|gothic|fantasy|literature|academic|school|novels|literature|19th-century
60,The Kite Runner,9781594480003,books.book,https://www.goodreads.com/author/show/569.Khaled_Hosseini,4.28,2180714,67816,2003,fiction|historical|historical-fiction|contemporary
61,"Catch-22 (Catch-22, #1)",9780684833392,books.book,https://www.goodreads.com/author/show/3167.Joseph_Heller,3.98,665707,16336,1961,classics|fiction|war|historical|historical-fiction|humor
62,"The Giver (The Giver, #1)",9780385732550,books.book,https://www.goodreads.com/author/show/2493.Lois_Lowry,4.13,1546683,61005,1993,young-adult|fiction|classics|science-fiction|dystopia|science-fiction
63,"The Pillars of the Earth (Kingsbridge, #1)",9780451207142,books.book,https://www.goodreads.com/author/show/3447.Ken_Follett,4.31,583551,29280,1989,historical|historical-fiction|fiction|historical
64,The Handmaid's Tale,null,books.book,https://www.goodreads.com/author/show/3472.Margaret_Atwood,4.09,1132528,57922,1985,fiction|classics|science-fiction|dystopia|science-fiction
65,The Stand,9780385199575,books.book,https://www.goodreads.com/author/show/3389.Stephen_King,4.34,549717,16845,1978,horror|fiction|fantasy|science-fiction
66,"Watership Down (Watership Down, #1)",9780380395866,books.book,https://www.goodreads.com/author/show/7717.Richard_Adams,4.06,375567,12319,1972,classics|fiction|fantasy|young-adult|animals
67,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",null,books.book,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,4.31,216680,5938,1892,classics|mystery|fiction|short-stories|mystery|crime|mystery|detective|literature|adventure|thriller|mystery-thriller|literature|19th-century
